zaman,kur,alis,satis
1739998967,USD,35.190272,37.429973
1739998967,EUR,36.672401,38.933358
1739998967,GBP,44.437169,46.854081
1739998967,AUD,22.59129,23.863133
1739998967,DKK,4.974143,5.249974
1739998967,SEK,3.316894,3.504184
1739998967,CHF,39.363365,41.537269
1739998967,JPY,23.502971,24.893171
1739998967,CAD,25.062231,26.48278
1739998967,NOK,3.198292,3.376641
1739998967,SAR,9.547495,10.059221
1739998967,PLN,8.878711,9.367169
1739998967,RUB,0.262616,0.299487
1739998967,XAU,3301.762938,3523.783493
1739999929,USD,35.185322,37.425731
1739999929,EUR,36.65864,38.924167
1739999929,GBP,44.407865,46.829942
1739999929,AUD,22.575153,23.851821
1739999929,DKK,4.976509,5.254064
1739999929,SEK,3.319221,3.506053
1739999929,CHF,39.350594,41.533229
1739999929,JPY,23.484805,24.878769
1739999929,CAD,25.047183,26.467125
1739999929,NOK,3.195025,3.374217
1739999929,SAR,9.547722,10.05914
1739999929,PLN,8.872969,9.362927
1739999929,RUB,0.262616,0.299487
1739999929,XAU,3301.035338,3523.416241
1740000579,USD,35.185817,37.425125
1740000579,EUR,36.668045,38.935176
1740000579,GBP,44.402618,46.826205
1740000579,AUD,22.599309,23.876768
1740000579,DKK,4.97344,5.250671
1740000579,SEK,3.317538,3.505689
1740000579,CHF,39.365147,41.55353
1740000579,JPY,23.466747,24.85971
1740000579,CAD,25.040946,26.465307
1740000579,NOK,3.195718,3.37452
1740000579,SAR,9.547455,10.05911
1740000579,PLN,8.877523,9.367775
1740000579,RUB,0.262616,0.299487
1740000579,XAU,3298.015132,3520.568815
