zaman,kur,alis,satis
1750799700,USD,37.847,41.227
1750799700,EUR,44.001,47.931
1750799700,GBP,51.634,56.246
1750799700,XAU,3942.761764,4598.747324
1750800650,USD,37.847,41.227
1750800650,EUR,44.001,47.931
1750800650,GBP,51.634,56.246
1750800650,XAU,3942.761764,4598.747324
1750801261,USD,37.847,41.227
1750801261,EUR,44.001,47.931
1750801261,GBP,51.634,56.246
1750801261,XAU,3942.761764,4598.747324
1750801615,USD,37.847,41.227
1750801615,EUR,44.001,47.931
1750801615,GBP,51.634,56.246
1750801615,XAU,3942.761764,4598.747324
1750801955,USD,37.847,41.227
1750801955,EUR,44.001,47.931
1750801955,GBP,51.634,56.246
1750801955,XAU,3942.761764,4598.747324
1750802298,USD,37.847,41.227
1750802298,EUR,44.001,47.931
1750802298,GBP,51.634,56.246
1750802298,XAU,3942.761764,4598.747324
1750803285,USD,37.847,41.227
1750803285,EUR,44.001,47.931
1750803285,GBP,51.634,56.246
1750803285,XAU,3942.761764,4598.747324
1750804490,USD,37.847,41.227
1750804490,EUR,44.001,47.931
1750804490,GBP,51.634,56.246
1750804490,XAU,3942.761764,4598.747324
1750805214,USD,37.847,41.227
1750805214,EUR,44.001,47.931
1750805214,GBP,51.634,56.246
1750805214,XAU,3942.761764,4598.747324
1750805569,USD,37.847,41.227
1750805569,EUR,44.001,47.931
1750805569,GBP,51.634,56.246
1750805569,XAU,3942.761764,4598.747324
1750805887,USD,37.847,41.227
1750805887,EUR,44.001,47.931
1750805887,GBP,51.634,56.246
1750805887,XAU,3942.761764,4598.747324
1750806853,USD,37.847,41.227
1750806853,EUR,44.001,47.931
1750806853,GBP,51.634,56.246
1750806853,XAU,3942.761764,4598.747324
1750807801,USD,37.847,41.227
1750807801,EUR,44.001,47.931
1750807801,GBP,51.634,56.246
1750807801,XAU,3942.761764,4598.747324
1750808434,USD,37.847,41.227
1750808434,EUR,44.001,47.931
1750808434,GBP,51.634,56.246
1750808434,XAU,3942.761764,4598.747324
1750808869,USD,37.847,41.227
1750808869,EUR,44.001,47.931
1750808869,GBP,51.634,56.246
1750808869,XAU,3942.761764,4598.747324
1750809208,USD,37.847,41.227
1750809208,EUR,44.001,47.931
1750809208,GBP,51.634,56.246
1750809208,XAU,3942.761764,4598.747324
1750809543,USD,37.847,41.227
1750809543,EUR,44.001,47.931
1750809543,GBP,51.634,56.246
1750809543,XAU,3942.761764,4598.747324
1750814524,USD,37.847,41.227
1750814524,EUR,44.001,47.931
1750814524,GBP,51.634,56.246
1750814524,XAU,3942.761764,4598.747324
1750820337,USD,37.847,41.227
1750820337,EUR,44.001,47.931
1750820337,GBP,51.634,56.246
1750820337,XAU,3942.761764,4598.747324
1750823336,USD,37.847,41.227
1750823336,EUR,44.001,47.931
1750823336,GBP,51.634,56.246
1750823336,XAU,3942.761764,4598.747324
