zaman,kur,alis,satis
1713963665,USD,32.00300,33.10900
1713963665,EUR,34.16405,35.38935
1713963665,GBP,39.74600,41.21620
1713963665,JPY,20.61385,21.44375
1713963665,CHF,34.97545,36.26945
1713963665,AUD,20.72790,21.55290
1713963665,CAD,23.34995,24.23395
1713963665,SAR,8.46465,8.89285
1713963665,CNY,4.19100,4.65000
1713963665,QAR,8.08595,9.20895
1713963665,XAU,2395.26,2506.86
1713963665,XAG,28.4149,29.1209
1713964452,USD,32.00300,33.10900
1713964452,EUR,34.16405,35.38935
1713964452,GBP,39.74600,41.21620
1713964452,JPY,20.61385,21.44375
1713964452,CHF,34.97545,36.26945
1713964452,AUD,20.72790,21.55290
1713964452,CAD,23.34995,24.23395
1713964452,SAR,8.46465,8.89285
1713964452,CNY,4.19100,4.65000
1713964452,QAR,8.08595,9.20895
1713964452,XAU,2393.34,2504.94
1713964452,XAG,28.3171,29.0231
1714394501,USD,31.83400,32.97000
1714394501,EUR,34.07330,35.33310
1714394501,GBP,39.84810,41.35910
1714394501,JPY,20.30575,21.15755
1714394501,CHF,34.90615,36.23015
1714394501,AUD,20.80945,21.65845
1714394501,CAD,23.26340,24.17140
1714394501,SAR,8.41585,8.85605
1714394501,CNY,4.16595,4.64145
1714394501,QAR,8.00110,9.17210
1714394501,XAU,2391.43,2507.03
1714394501,XAG,28.1721,28.8781
1714394550,USD,31.83400,32.97000
1714394550,EUR,34.07330,35.33310
1714394550,GBP,39.84810,41.35910
1714394550,JPY,20.30575,21.15755
1714394550,CHF,34.90615,36.23015
1714394550,AUD,20.80945,21.65845
1714394550,CAD,23.26340,24.17140
1714394550,SAR,8.41585,8.85605
1714394550,CNY,4.16595,4.64145
1714394550,QAR,8.00110,9.17210
1714394550,XAU,2391.43,2507.03
1714394550,XAG,28.1721,28.8781
